Title,Primary Author,Publication,Date,Media,Page Count,Collections,ISBN,ISBNs,Copies
The Hitchhiker's Guide to the Galaxy: The Nearly Definitive Edition,"Adams, Douglas","William Heinemann (2014), 832 pages",2014,Hardcover,832 ,"Your library, Read - keep, Favorites, Scifi",[0434023396],"[0434023396, 9780434023394]",1
Dirk Gently's Holistic Detective Agency,"Adams, Douglas","Pan MacMillan (1988), Edition: New Ed, 256 pages",1988,Paperback,256 ,"Your library, Mystery",[0330301624],"[0330301624, 9780330301626]",1
Aesop's Fables (Word Cloud Classics),Aesop,"Canterbury Classics (2013), Edition: 1st, 256 pages",2013,Paperback,256 ,"Your library, Read - keep, To read",[1607109476],"[1607109476, 9781607109471]",1
Little Women and Good Wives (Vintage Classics),"Alcott, Louisa May","Random House UK (2008), Edition: Reprint, 528 pages",2008,Paperback,528 ,Your library,[0099511495],"[0099511495, 9780099511496]",1
Inferno (Evergreens),"Alighieri, Dante","Alma Classics (2014), 396 pages",2014,Paperback,400 ,"Your library, Currently reading",[1847493408],"[1847493408, 9781847493408]",1
Great Science Fiction Stories,Anon,Dobson Books (1968),1968,Hardcover,,Your library,[0904230988],"[0904230988, 9780904230987]",1
Antoine de Saint-Exupery The Little Prince (Modern Classics) /anglais,"Ant, De Saint-Exupery","PENGUIN UK (2000), 160 pages",2000,Paperback,160 ,Your library,[0141185627],"[0141185627, 9780141185620]",1
Fullmetal alchemist. 2,"Arakawa, Hiromu","San Francisco, Calif. : Viz, [2005].",2005,Paper Book,179 ,Your library,[9789812607706],"[9789812607706, 9812607706]",1
Fullmetal alchemist. 1,"Arakawa, Hiromu","Singapore : Chuang Y Publishing Pte Ltd., c2002.",2002,Paper Book,177 ,Your library,[9789812607287],"[9789812607287, 9812607285]",1
Fullmetal alchemist. 5,"Arakawa, Hiromu","San Francisco, Calif. : Viz Media, 2005.",2005,Paper Book,186 ,Your library,[9789812608376],"[9789812608376, 9812608370]",1
Fullmetal alchemist. 4,"Arakawa, Hiromu","San Francisco, Calif. : Viz, [2005].",2005,Paper Book,184 ,Your library,[9789812608949],"[9789812608949, 981260894X]",1
"Fullmetal Alchemist, Vol. 12","Arakawa, Hiromu","VIZ Media LLC (2007), Edition: 1st, 192 pages",2007,Paperback,192 ,Your library,[1421508397],"[1421508397, 9781421508399]",1
"Fullmetal Alchemist, Vol. 11","Arakawa, Hiromu","VIZ Media LLC (2007), Edition: 1st, 192 pages",2007,Paperback,192 ,Your library,[1421508389],"[1421508389, 9781421508382]",1
"Fullmetal Alchemist, Vol. 10","Arakawa, Hiromu","VIZ Media LLC (2006), Edition: 1st, 200 pages",2006,Paperback,200 ,Your library,[9781421504612],"[9781421504612, 1421504618]",1
"Fullmetal Alchemist, Vol. 9","Arakawa, Hiromu","VIZ Media LLC (2006), Edition: 1st, 192 pages",2006,Paperback,192 ,Your library,[142150460X],"[142150460X, 9781421504605]",1
FULLMETAL ALCHEMIST GN VOL 08 (C: 1-0-0),"Arakawa, Hiromu","Viz LLC (2006), Edition: 1st, 192 pages",2006,Paperback,192 ,Your library,[1421504596],"[1421504596, 9781421504599]",1
FULLMETAL ALCHEMIST GN VOL 07 (C: 1-0-0),"Arakawa, Hiromu","Viz LLC (2006), Edition: 1st, 192 pages",2006,Paperback,192 ,Your library,[1421504588],"[1421504588, 9781421504582]",1
"Fullmetal Alchemist, Vol. 6","Arakawa, Hiromu","VIZ Media LLC (2006), Edition: 1st, 192 pages",2006,Paperback,192 ,Your library,[9781421503196],"[9781421503196, 1421503190]",1
Fullmetal alchemist. 20,"Arakawa, Hiromu","San Francisco, Calif. : Viz Media, 2009.",2009,Paper Book,188 ,Your library,[9789812768735],"[9789812768735, 9812768734]",1
Fullmetal alchemist. 18,"Arakawa, Hiromu","San Francisco, Calif. : Viz Media, 2009.",2009,Paper Book,176 ,Your library,[9789812767844],"[9789812767844, 9812767843]",1
"Fullmetal Alchemist, Vol. 17","Arakawa, Hiromu","VIZ Media LLC (2008), Edition: Illustrated, 192 pages",2008,Paperback,192 ,Your library,[142152161X],"[142152161X, 9781421521619]",1
Fullmetal alchemist. 14,"Arakawa, Hiromu","San Francisco, Calif. : Viz Media, 2006.",2006,Paper Book,172 ,Your library,[9789812761569],"[9789812761569, 981276156X]",1
Fullmetal alchemist. 13,"Arakawa, Hiromu","San Francisco, Calif. : Viz Media, 2007.",2007,Paper Book,185 ,Your library,[9789812760456],"[9789812760456, 9812760458]",1
"Fullmetal Alchemist, Vol. 27","Arakawa, Hiromu","VIZ Media LLC (2011), 200 pages",2011,Paperback,200 ,Your library,[9781421539843],"[9781421539843, 1421539845]",1
"Fullmetal Alchemist, Vol. 26","Arakawa, Hiromu","VIZ Media LLC (2011), 208 pages",2011,Paperback,208 ,Your library,[1421539624],"[1421539624, 9781421539621]",1
"Fullmetal Alchemist, Vol. 25","Arakawa, Hiromu","VIZ Media LLC (2011), 192 pages",2011,Paperback,192 ,Your library,[1421539241],"[1421539241, 9781421539249]",1
"Fullmetal Alchemist, Vol. 24","Arakawa, Hiromu","VIZ Media LLC (2011), 192 pages",2011,Paperback,192 ,Your library,[1421538121],"[1421538121, 9781421538129]",1
"Fullmetal Alchemist, Vol. 23","Arakawa, Hiromu","VIZ Media LLC (2010), Edition: Illustrated, 200 pages",2010,Paperback,200 ,Your library,[9781421536309],"[9781421536309, 1421536307]",1
"Fullmetal Alchemist, Vol. 22","Arakawa, Hiromu","VIZ Media LLC (2010), Edition: Illustrated, 192 pages",2010,Paperback,192 ,"Your library, Manga",[1421534134],"[1421534134, 9781421534138]",1
